X,Y,OBJECTID,Id,DateStarted,EstimatedCompletionDate,WorkType,Description,Suburb,Road,TrafficImpact,Region,EntryDate
117.521662564868,-33.2821420590447,216640,59136,25/01/2021 07:00:00,26/03/2021 19:00:00,Upgrades,Wagin Dumbleyung Rd between Behn Ord Rd and Wards Rd  - Upgrades - 7am to 7pm daily,,Wagin Dumbleyung Rd,"Lane closures and speed reductions, allow extra travel time and approach with caution ",Wheatbelt,01/02/2021 09:08:44
116.595423425924,-32.7811958238486,216649,59289,09/02/2021 07:00:00,30/04/2021 19:00:00,Upgrades,Albany Hwy - Crossman Rd and Crane Rise - Intersection Improvements - 7am - 7pm daily,Crossman,Albany Hwy,"Lane closures and speed restrictions, allow extra travel time and approach with caution, south & northbound parking bays closed",Wheatbelt,03/02/2021 10:12:00
116.618479193443,-32.8309986293757,216652,59302,08/02/2021 07:00:00,11/04/2021 19:00:00,Upgrades,"Albany Hwy, Jarrahdale Rd - Williams  - Upgrades - 7am to 7pm daily",Mt Cooke - Crossman - Williams,Albany Hwy,Traffic Management in Place - Caution Required at all Times - Lane Closures with a convoy vehicle escort and Speed reduction. ,Wheatbelt,08/03/2021 06:18:32
117.569606792442,-34.9892803842095,216668,56486,30/11/2020 06:00:00,09/03/2021 18:00:00,Maintenance,"South Coast Hwy - Stanley Rd to Albany Hwy, Albany   - Shoulder Sealing - 6am to 6pm daily - works will occur in 3km blocks along the route",Albany ,South Coast Hwy,Speed reductions in place with one lane closure. Possible delays of up to 5 mins,Great Southern,18/02/2021 15:27:43
116.874053137388,-33.0360338718934,216675,59279,08/02/2021 07:00:00,19/03/2021 17:00:00,Maintenance,"Pinjarra Williams Rd - West from Albany Hwy, Williams - Vegetation Maintenance - 7am to 5pm daily",Williams,Pinjarra Williams Rd,"Lane closures and speed restrictions, allow extra travel time and approach with caution  ",Wheatbelt,05/02/2021 16:22:32
116.483286323867,-33.4212061607165,216681,59393,08/03/2021 06:00:00,10/03/2021 18:00:00,Maintenance,Coalfields Hwy - Bowelling Duranillin Rd - Bowelling - Maintenance - Pavement Investigations - 6am to 6pm daily ,Bowelling ,Coalfields Hwy,Traffic Management in Place - Lane Closure - Speed Reductions - Caution Required at all Times ,Wheatbelt,19/02/2021 15:49:51
117.048085086887,-32.4786335603011,216684,59400,15/02/2021 06:00:00,28/03/2021 18:00:00,Maintenance,Great Southern Hwy - Lamard Rd Pingelly  - Bridge Maintenance - Bridge 0320A over Nimbedilling Brook - 24hrs Daily,Pingelly,Great Southern Hwy,24/7 single lane closure – Stop / Slow for each direction of Great Southern Hwy - Reduced Speed Limit - 3.6m lane widths provided,Wheatbelt,08/02/2021 08:10:18
115.936751525995,-31.9349671017448,216688,59406,08/03/2021 22:00:00,10/03/2021 04:00:00,Maintenance,"Great Eastern Hwy at Lyall St, Redcliffe  - Maintenance
10pm to 4am",Redcliffe,Great Eastern Hwy,Lane closure and speed reduction in place,Metro,09/02/2021 06:35:39
117.173294945472,-34.55658169716,216694,59423,12/04/2021 06:00:00,31/08/2021 18:00:00,Upgrades,"Muir Hwy approx 10km east of Rocky Gully, Perillup  - Bridge repairs and maintenance - 6am to 6pm daily",Perillup,Muir Hwy,Speed reduction in place. Bridge will be closed with a one lane side-track with traffic lights in place,Great Southern,03/03/2021 08:22:17
116.439793498258,-31.0953182259713,216695,59424,15/02/2021 06:00:00,30/04/2021 18:00:00,Upgrades,Calingiri Wongan Hills Rd - Ninan Street to Great Northern Highway - Upgrades - 6am to 6pm daily,Calingiri,Calingiri Wongan Hills Rd,"Lane closures and speed restrictions, allow extra travel time and approach with caution  ",Wheatbelt,19/02/2021 15:21:27
